Connected to pydev debugger (build 222.4459.20)
Reading lines...
Read 3882 sentence pairs
Trimmed to 3882 sentence pairs
Counting words...
Counted words:
my.train 3828
en.train 2434
['miaranen i nagam ni', 'song with five couplets']
0m 21s (- 35m 52s) (1000 1%) 4.8486
0m 32s (- 26m 35s) (2000 2%) 4.5243
0m 43s (- 23m 20s) (3000 3%) 4.3052
0m 53s (- 21m 26s) (4000 4%) 4.2410
1m 4s (- 20m 27s) (5000 5%) 4.1363
1m 18s (- 20m 34s) (6000 6%) 3.9366
1m 35s (- 21m 10s) (7000 7%) 3.8339
1m 49s (- 20m 55s) (8000 8%) 3.6178
2m 1s (- 20m 24s) (9000 9%) 3.4358
2m 13s (- 20m 5s) (10000 10%) 3.3470
2m 25s (- 19m 33s) (11000 11%) 3.1287
2m 37s (- 19m 11s) (12000 12%) 3.0337
2m 48s (- 18m 45s) (13000 13%) 2.8267
2m 59s (- 18m 20s) (14000 14%) 2.6557
3m 11s (- 18m 2s) (15000 15%) 2.3960
3m 22s (- 17m 44s) (16000 16%) 2.3591
3m 33s (- 17m 22s) (17000 17%) 2.1699
3m 44s (- 17m 1s) (18000 18%) 2.0480
3m 56s (- 16m 47s) (19000 19%) 1.9000
4m 8s (- 16m 35s) (20000 20%) 1.7969
4m 19s (- 16m 17s) (21000 21%) 1.5667
4m 30s (- 15m 58s) (22000 22%) 1.5292
4m 41s (- 15m 41s) (23000 23%) 1.3697
4m 53s (- 15m 29s) (24000 24%) 1.2193
5m 5s (- 15m 17s) (25000 25%) 1.1639
5m 16s (- 15m 1s) (26000 26%) 1.0108
5m 27s (- 14m 45s) (27000 27%) 1.0172
5m 39s (- 14m 33s) (28000 28%) 0.8744
5m 51s (- 14m 19s) (29000 28%) 0.7829
6m 3s (- 14m 7s) (30000 30%) 0.7485
6m 14s (- 13m 52s) (31000 31%) 0.6216
6m 24s (- 13m 37s) (32000 32%) 0.5776
6m 35s (- 13m 23s) (33000 33%) 0.5452
6m 47s (- 13m 10s) (34000 34%) 0.4787
6m 59s (- 12m 58s) (35000 35%) 0.4329
7m 10s (- 12m 45s) (36000 36%) 0.4036
7m 23s (- 12m 34s) (37000 37%) 0.3775
7m 35s (- 12m 23s) (38000 38%) 0.3560
7m 47s (- 12m 10s) (39000 39%) 0.2910
7m 58s (- 11m 57s) (40000 40%) 0.3040
8m 11s (- 11m 46s) (41000 41%) 0.2499
8m 21s (- 11m 33s) (42000 42%) 0.2588
8m 32s (- 11m 19s) (43000 43%) 0.2333
8m 44s (- 11m 7s) (44000 44%) 0.2040
8m 55s (- 10m 54s) (45000 45%) 0.1698
9m 8s (- 10m 43s) (46000 46%) 0.1651
9m 24s (- 10m 36s) (47000 47%) 0.1594
9m 37s (- 10m 25s) (48000 48%) 0.1530
9m 48s (- 10m 12s) (49000 49%) 0.1381
9m 59s (- 9m 59s) (50000 50%) 0.1468
10m 10s (- 9m 46s) (51000 51%) 0.1150
10m 21s (- 9m 33s) (52000 52%) 0.1287
10m 32s (- 9m 20s) (53000 53%) 0.1331
10m 43s (- 9m 8s) (54000 54%) 0.1186
10m 54s (- 8m 55s) (55000 55%) 0.1055
11m 6s (- 8m 43s) (56000 56%) 0.0883
11m 18s (- 8m 31s) (57000 56%) 0.0986
11m 29s (- 8m 19s) (58000 57%) 0.0996
11m 41s (- 8m 7s) (59000 59%) 0.0918
11m 54s (- 7m 56s) (60000 60%) 0.0977
12m 10s (- 7m 47s) (61000 61%) 0.0926
12m 27s (- 7m 37s) (62000 62%) 0.0754
12m 43s (- 7m 28s) (63000 63%) 0.0969
13m 0s (- 7m 18s) (64000 64%) 0.0911
13m 16s (- 7m 8s) (65000 65%) 0.0844
13m 32s (- 6m 58s) (66000 66%) 0.0822
13m 49s (- 6m 48s) (67000 67%) 0.0834
14m 6s (- 6m 38s) (68000 68%) 0.0635
14m 22s (- 6m 27s) (69000 69%) 0.0836
14m 35s (- 6m 15s) (70000 70%) 0.0752
14m 47s (- 6m 2s) (71000 71%) 0.0694
15m 3s (- 5m 51s) (72000 72%) 0.0679
15m 18s (- 5m 39s) (73000 73%) 0.0640
15m 33s (- 5m 27s) (74000 74%) 0.0806
15m 48s (- 5m 16s) (75000 75%) 0.0694
16m 4s (- 5m 4s) (76000 76%) 0.0642
16m 19s (- 4m 52s) (77000 77%) 0.0760
16m 33s (- 4m 40s) (78000 78%) 0.0693
16m 49s (- 4m 28s) (79000 79%) 0.0602
17m 5s (- 4m 16s) (80000 80%) 0.0609
17m 21s (- 4m 4s) (81000 81%) 0.0671
17m 37s (- 3m 52s) (82000 82%) 0.0789
17m 54s (- 3m 39s) (83000 83%) 0.0615
18m 5s (- 3m 26s) (84000 84%) 0.0663
18m 17s (- 3m 13s) (85000 85%) 0.0658
18m 29s (- 3m 0s) (86000 86%) 0.0509
18m 41s (- 2m 47s) (87000 87%) 0.0706
18m 55s (- 2m 34s) (88000 88%) 0.0811
19m 10s (- 2m 22s) (89000 89%) 0.0592
19m 27s (- 2m 9s) (90000 90%) 0.0682
19m 43s (- 1m 57s) (91000 91%) 0.0685
20m 0s (- 1m 44s) (92000 92%) 0.0612
20m 17s (- 1m 31s) (93000 93%) 0.0685
20m 33s (- 1m 18s) (94000 94%) 0.0666
20m 50s (- 1m 5s) (95000 95%) 0.0508
21m 6s (- 0m 52s) (96000 96%) 0.0725
21m 23s (- 0m 39s) (97000 97%) 0.0801
21m 40s (- 0m 26s) (98000 98%) 0.0842
21m 57s (- 0m 13s) (99000 99%) 0.0451
22m 14s (- 0m 0s) (100000 100%) 0.0549

print(f'BLEU Score: {bleu_score(candidate, reference)}')
BLEU Score: 0.9740037322044373
